old_story_id,old_title,action,successor_story,functional_absorption,identity_implication,reason,new_island
A1-M03-I04-S3,Perfil de habilidades,RETIRED,,B32-S14,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I05
A1-M04-I01-S3,Encontrar el destino,RETIRED,,B32-S16,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I06
A1-M04-I02-S3,Guía a otra persona,RETIRED,,B32-S16,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I06
A1-M04-I03-S3,Resolver la necesidad,RETIRED,,B32-S17,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I06
A1-M04-I04-S3,Elegir el viaje,RETIRED,,B32-S18,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I06
A1-M05-I01-S3,Preparar una lista,RETIRED,,B32-S19,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I07
A1-M05-I02-S3,Hacer el pedido,RETIRED,,B32-S20,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I07
A1-M05-I03-S3,Resolver la compra,RETIRED,,B32-S21,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I07
A1-M05-I04-S3,Compra con problema,RECOMPOSED,B32-S21,,NEW_ID_EXPECTED,"El antiguo final-transfer Compra con problema pasa a ser una Story narrativa real y se amplía con precio, pago y elección.",B32-I07
A1-M06-I01-S3,Encuesta de gustos,RETIRED,,B32-S22,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I08
A1-M06-I02-S3,Plan de ocio,RETIRED,,B32-S23,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I08
A1-M06-I03-S3,Aceptar o rechazar,RETIRED,,B32-S24,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I08
A1-M06-I04-S3,Mensaje adecuado,RETIRED,,B32-S24,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I08
A1-M07-I01-S3,Elegir cómo viajar,RETIRED,,B32-S25,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I09
A1-M07-I02-S3,Elegir alojamiento,RETIRED,,B32-S26,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I09
A1-M07-I03-S3,Preparar el día,RETIRED,,B32-S27,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I09
A1-M07-I04-S3,Organizar el viaje,RETIRED,,B32-S27,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I09
A1-M08-I01-S3,Comparar opiniones,RETIRED,,B32-S28,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I10
A1-M08-I02-S3,Responder a otra idea,RETIRED,,B32-S29,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I10
A1-M08-I03-S4,Comprender una ficha nueva,RETIRED,,B32-S31,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I11
A1-M08-I04-S1,Capstone: llegada y orientación,RECOMPOSED,B32-S32,,NEW_ID_EXPECTED,El capstone de llegada/orientación se amplía a integración final del nivel.,B32-I11
A1-M08-I04-S2,Capstone: resolver el día,MERGED,B32-S32,,OLD_ID_RETIRE → successor,Resolver el día y mensaje final se integran en un único capstone multimodal.,B32-I11
A1-M08-I04-S3,Capstone: mensaje final,RETIRED,,B32-S32,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I11
