allocation_id,target_type,target_id,item,lexeme_id,sense_id,source_record_id,object_class,sense_status,expected_receptive,expected_productive,formulaic_expectation,grammar_pcic_section,grammar_category,grammar_kind,mwu_object_class,mwu_subtype,first_introduction_island,module_id,module_name,island_name,global_island_order,allocation_authority,allocation_basis,allocation_reason,source_assertion_ids,regional_policy,v1_41_planning_budget,v1_42_actual_count_for_target_type,story_blueprint_status,notes,v1_42_first_introduction_island,first_introduction_story,local_reuse_story,near_transfer_story,distant_or_terminal_story,recycle_route_class,v1_43_first_introduction_story,v1_43_local_reuse_story,v1_43_near_transfer_story,v1_43_distant_or_terminal_story,v1_44_sequence_audit_status
SEQ-A1-000011,MWU_SOURCE_UNIT,12B1-MWU-0208,buenos días,,,12B1-MWU-0208,MWU_SOURCE_UNIT,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,YES,,,,FORMULA,GREETING_OR_LEAVE_TAKING,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PHASE6_SOURCE_LAYER + MWU_ONTOLOGY + FIRST_FUNCTIONAL_CONTEXT,SEMANTIC_FUNCTIONAL_MWU_PLACEMENT,,,7,5,COMPLETE_16D_AUDITED,"MWU identity is preserved; component unigram frequency is never substituted for MWU frequency. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000012,MWU_SOURCE_UNIT,12B1-MWU-0209,buenas tardes,,,12B1-MWU-0209,MWU_SOURCE_UNIT,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,YES,,,,FORMULA,GREETING_OR_LEAVE_TAKING,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PHASE6_SOURCE_LAYER + MWU_ONTOLOGY + FIRST_FUNCTIONAL_CONTEXT,SEMANTIC_FUNCTIONAL_MWU_PLACEMENT,,,7,5,COMPLETE_16D_AUDITED,"MWU identity is preserved; component unigram frequency is never substituted for MWU frequency. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000013,MWU_SOURCE_UNIT,12B1-MWU-0210,buenas noches,,,12B1-MWU-0210,MWU_SOURCE_UNIT,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,YES,,,,FORMULA,GREETING_OR_LEAVE_TAKING,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PHASE6_SOURCE_LAYER + MWU_ONTOLOGY + FIRST_FUNCTIONAL_CONTEXT,SEMANTIC_FUNCTIONAL_MWU_PLACEMENT,,,7,5,COMPLETE_16D_AUDITED,"MWU identity is preserved; component unigram frequency is never substituted for MWU frequency. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000014,MWU_SOURCE_UNIT,12B1-MWU-0211,"hola, ¿qué tal?",,,12B1-MWU-0211,MWU_SOURCE_UNIT,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,YES,,,,FORMULA,GREETING_OR_LEAVE_TAKING,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PHASE6_SOURCE_LAYER + MWU_ONTOLOGY + FIRST_FUNCTIONAL_CONTEXT,SEMANTIC_FUNCTIONAL_MWU_PLACEMENT,,,7,5,COMPLETE_16D_AUDITED,"MWU identity is preserved; component unigram frequency is never substituted for MWU frequency. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000015,MWU_SOURCE_UNIT,12B1-MWU-0213,hasta mañana,,,12B1-MWU-0213,MWU_SOURCE_UNIT,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,YES,,,,FORMULA,GREETING_OR_LEAVE_TAKING,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PHASE6_SOURCE_LAYER + MWU_ONTOLOGY + FIRST_FUNCTIONAL_CONTEXT,SEMANTIC_FUNCTIONAL_MWU_PLACEMENT,,,7,5,COMPLETE_16D_AUDITED,"MWU identity is preserved; component unigram frequency is never substituted for MWU frequency. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000016,SENSE,SENSE-A1-000046,apellido,LEX-A1-000046,SENSE-A1-000046,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000269,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S4,A1-M02-I02-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000017,SENSE,SENSE-A1-000200,don,LEX-A1-000196,SENSE-A1-000200,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000457,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S1,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000018,SENSE,SENSE-A1-000210,el,LEX-A1-000206,SENSE-A1-000210,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000467,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S1,A1-M01-I02-S3,A1-M01-I03-S4,A1-M02-I02-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000019,SENSE,SENSE-A1-000211,él,LEX-A1-000207,SENSE-A1-000211,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000468,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S3,A1-M02-I02-S2,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000020,SENSE,SENSE-A1-000235,estado civil,LEX-A1-000231,SENSE-A1-000235,,MULTIWORD,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,MULTIWORD_LEXEME_ALIGNED_WITH_MWU_SOURCE_UNIT,SA-A1-000005;SA-A1-000495,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S4,A1-M02-I02-S3,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000021,SENSE,SENSE-A1-000255,fecha de nacimiento,LEX-A1-000251,SENSE-A1-000255,,MULTIWORD,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,MULTIWORD_LEXEME_ALIGNED_WITH_MWU_SOURCE_UNIT,SA-A1-000006;SA-A1-000519,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S4,A1-M02-I02-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000022,SENSE,SENSE-A1-000339,llamarse,LEX-A1-000333,SENSE-A1-000339,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000617;SA-A1-000618,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S1,A1-M02-I02-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000023,SENSE,SENSE-A1-000345,lugar de nacimiento,LEX-A1-000339,SENSE-A1-000345,,MULTIWORD,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,MULTIWORD_LEXEME_ALIGNED_WITH_MWU_SOURCE_UNIT,SA-A1-000007;SA-A1-000625,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S1,A1-M01-I02-S3,A1-M01-I03-S4,A1-M02-I02-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000024,SENSE,SENSE-A1-000403,nombre,LEX-A1-000396,SENSE-A1-000403,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000694,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S1,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S2,A1-M01-I02-S3,A1-M01-I03-S2,A1-M02-I02-S3,PASS
SEQ-A1-000025,SENSE,SENSE-A1-000406,nosotros,LEX-A1-000399,SENSE-A1-000406,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I02,M01,Contacto y supervivencia comunicativa,¿Cómo te llamas?,2,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000698,,13,18,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I02,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S4,A1-M02-I02-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I03-S2,A1-M02-I02-S3,PASS
