story_id,module_id,module_name,island_id,global_island_order,island_name,story_order,story_title,story_role,scenario_brief,communicative_goal,genre_focus,planned_input_mode,new_target_count,local_reuse_in_count,near_transfer_in_count,distant_return_in_count,regional_later_recognition_in_count,terminal_capstone_return_in_count,new_target_policy,task_demand,known_token_coverage_policy,mastery_policy,status,notes,scheduled_relation_count,new_target_guardrail,is_final_transfer_story,v1_44_revision_reason
A1-M01-I04-S1,M01,Contacto y supervivencia comunicativa,A1-M01-I04,4,No entiendo,1,No entiendo la instrucción,CONTEXTUAL_INPUT,"Aparecen fórmulas de reparación, cortesía y confirmación.","Gestionar cortesía, confirmación, disculpa, agradecimiento y reparación mínima en aula/interacción.",diálogo de aula; instrucción; mensaje breve,READ+LISTEN,12,0,14,0,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",26,PASS,NO,16D_FINAL_AUDIT
A1-M01-I04-S2,M01,Contacto y supervivencia comunicativa,A1-M01-I04,4,No entiendo,2,¿Puedes repetir?,VARIATION_AND_LOCAL_RECYCLING,"Variación de aula con petición de ayuda, disculpa y agradecimiento.","Gestionar cortesía, confirmación, disculpa, agradecimiento y reparación mínima en aula/interacción.",diálogo de aula; instrucción; mensaje breve,LISTEN+READ,11,6,15,0,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",32,PASS,NO,16D_FINAL_AUDIT
A1-M01-I04-S3,M01,Contacto y supervivencia comunicativa,A1-M01-I04,4,No entiendo,3,Resolver el malentendido,TRANSFER_AND_RETRIEVAL,Elegir la fórmula adecuada para recuperar una interacción.,"Gestionar cortesía, confirmación, disculpa, agradecimiento y reparación mínima en aula/interacción.",diálogo de aula; instrucción; mensaje breve,TASK_INTERACTION+READ_OR_LISTEN,0,17,25,0,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",42,PASS,YES,16D_FINAL_AUDIT
A1-M02-I01-S1,M02,Personas y entorno cercano,A1-M02-I01,5,Mi familia y mi gente,1,Mi familia,CONTEXTUAL_INPUT,Presentación de personas cercanas y relaciones familiares.,Identificar relaciones personales y hablar de personas cercanas.,perfil familiar; foto comentada; diálogo,READ+LISTEN,15,0,6,0,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",21,PASS,NO,16D_LOAD_BALANCING
A1-M02-I01-S2,M02,Personas y entorno cercano,A1-M02-I01,5,Mi familia y mi gente,2,Una foto distinta,VARIATION_AND_LOCAL_RECYCLING,"Variación de parentescos, estado civil y posesión.",Identificar relaciones personales y hablar de personas cercanas.,perfil familiar; foto comentada; diálogo,LISTEN+READ,15,5,6,0,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",26,PASS,NO,16D_LOAD_BALANCING
A1-M02-I01-S3,M02,Personas y entorno cercano,A1-M02-I01,5,Mi familia y mi gente,3,Otra familia,EXTENSION_AND_TRANSFER_PREP,Extensión de relaciones personales y estado civil con repertorio nuevo aún controlado.,Identificar relaciones personales y hablar de personas cercanas.,perfil familiar; foto comentada; diálogo,READ+LISTEN_OR_INTERACTION,15,12,6,0,0,0,CONTROLLED_FINAL_INTRODUCTION_ALLOWED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,Added in 16D because v1.43 new-target load exceeded the internal planning guardrail. This story may introduce final island targets; it is not the final transfer story.,33,PASS,NO,16D_LOAD_BALANCING
A1-M02-I01-S4,M02,Personas y entorno cercano,A1-M02-I01,5,Mi familia y mi gente,4,¿Quién es quién?,TRANSFER_AND_RETRIEVAL,Transferencia mediante identificación de relaciones en una familia nueva.,Identificar relaciones personales y hablar de personas cercanas.,perfil familiar; foto comentada; diálogo,TASK_INTERACTION+READ_OR_LISTEN,0,28,5,15,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,v1.43 S3 moved to S4 in 16D so the final story remains transfer-only after load balancing.,48,PASS,YES,16D_LOAD_BALANCING
A1-M02-I02-S1,M02,Personas y entorno cercano,A1-M02-I02,6,¿Cómo es?,1,Así es Ana,CONTEXTUAL_INPUT,Descripción física y valoración básica de una persona.,Describir físicamente y valorar rasgos personales básicos.,descripción breve; perfil; comparación visual simple,READ+LISTEN,17,0,11,5,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",33,PASS,NO,16D_LOAD_BALANCING
A1-M02-I02-S2,M02,Personas y entorno cercano,A1-M02-I02,6,¿Cómo es?,2,Dos perfiles,VARIATION_AND_LOCAL_RECYCLING,"Cambian rasgos, género y grado descriptivo.",Describir físicamente y valorar rasgos personales básicos.,descripción breve; perfil; comparación visual simple,LISTEN+READ,16,5,12,5,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",38,PASS,NO,16D_LOAD_BALANCING
A1-M02-I02-S3,M02,Personas y entorno cercano,A1-M02-I02,6,¿Cómo es?,3,Descripción en contexto,EXTENSION_AND_TRANSFER_PREP,Extensión de rasgos y valoración antes de la tarea de identificación final.,Describir físicamente y valorar rasgos personales básicos.,descripción breve; perfil; comparación visual simple,READ+LISTEN_OR_INTERACTION,16,14,11,5,0,0,CONTROLLED_FINAL_INTRODUCTION_ALLOWED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,Added in 16D because v1.43 new-target load exceeded the internal planning guardrail. This story may introduce final island targets; it is not the final transfer story.,46,PASS,NO,16D_LOAD_BALANCING
A1-M02-I02-S4,M02,Personas y entorno cercano,A1-M02-I02,6,¿Cómo es?,4,Encontrar a la persona,TRANSFER_AND_RETRIEVAL,Recuperar rasgos para identificar a alguien en un contexto nuevo.,Describir físicamente y valorar rasgos personales básicos.,descripción breve; perfil; comparación visual simple,TASK_INTERACTION+READ_OR_LISTEN,0,30,11,21,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,v1.43 S3 moved to S4 in 16D so the final story remains transfer-only after load balancing.,62,PASS,YES,16D_LOAD_BALANCING
A1-M02-I03-S1,M02,Personas y entorno cercano,A1-M02-I03,7,En casa,1,Mi apartamento,CONTEXTUAL_INPUT,"Habitaciones, muebles y localización básica.",Nombrar espacios/objetos básicos de vivienda y localizar elementos.,plano; anuncio simple; diálogo doméstico,READ+LISTEN,17,0,12,9,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",38,PASS,NO,16D_LOAD_BALANCING
A1-M02-I03-S2,M02,Personas y entorno cercano,A1-M02-I03,7,En casa,2,Una casa diferente,VARIATION_AND_LOCAL_RECYCLING,Variación de vivienda y relaciones espaciales.,Nombrar espacios/objetos básicos de vivienda y localizar elementos.,plano; anuncio simple; diálogo doméstico,LISTEN+READ,16,6,12,10,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",44,PASS,NO,16D_LOAD_BALANCING
A1-M02-I03-S3,M02,Personas y entorno cercano,A1-M02-I03,7,En casa,3,Una vivienda más,EXTENSION_AND_TRANSFER_PREP,Extensión de vivienda/localización antes de la transferencia sobre plano nuevo.,Nombrar espacios/objetos básicos de vivienda y localizar elementos.,plano; anuncio simple; diálogo doméstico,READ+LISTEN_OR_INTERACTION,16,14,12,10,0,0,CONTROLLED_FINAL_INTRODUCTION_ALLOWED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,Added in 16D because v1.43 new-target load exceeded the internal planning guardrail. This story may introduce final island targets; it is not the final transfer story.,52,PASS,NO,16D_LOAD_BALANCING
A1-M02-I03-S4,M02,Personas y entorno cercano,A1-M02-I03,7,En casa,4,¿Dónde está?,TRANSFER_AND_RETRIEVAL,Transferencia sobre un plano no visto previamente.,Nombrar espacios/objetos básicos de vivienda y localizar elementos.,plano; anuncio simple; diálogo doméstico,TASK_INTERACTION+READ_OR_LISTEN,0,29,13,25,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,v1.43 S3 moved to S4 in 16D so the final story remains transfer-only after load balancing.,67,PASS,YES,16D_LOAD_BALANCING
A1-M02-I04-S1,M02,Personas y entorno cercano,A1-M02-I04,8,"Estudio, trabajo y personas",1,¿A qué te dedicas?,CONTEXTUAL_INPUT,Perfil de estudio/profesión y datos asociados.,"Hablar de profesión/estudio y expresar saber, conocer o desconocer de forma elemental.",perfil; ficha; conversación breve,READ+LISTEN,12,0,16,4,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",32,PASS,NO,16D_FINAL_AUDIT
A1-M02-I04-S2,M02,Personas y entorno cercano,A1-M02-I04,8,"Estudio, trabajo y personas",2,"Dos personas, dos actividades",VARIATION_AND_LOCAL_RECYCLING,Variación entre estudio y trabajo.,"Hablar de profesión/estudio y expresar saber, conocer o desconocer de forma elemental.",perfil; ficha; conversación breve,LISTEN+READ,12,6,16,4,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",38,PASS,NO,16D_FINAL_AUDIT
A1-M02-I04-S3,M02,Personas y entorno cercano,A1-M02-I04,8,"Estudio, trabajo y personas",3,Ficha profesional,TRANSFER_AND_RETRIEVAL,Recuperar información para completar un perfil nuevo.,"Hablar de profesión/estudio y expresar saber, conocer o desconocer de forma elemental.",perfil; ficha; conversación breve,TASK_INTERACTION+READ_OR_LISTEN,0,18,17,14,1,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",50,PASS,YES,16D_FINAL_AUDIT
A1-M03-I01-S1,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I01,9,"Fecha, hora y calendario",1,Una cita a las diez,CONTEXTUAL_INPUT,"Hora, fecha, día y marcadores temporales.","Comprender y expresar horas, días, meses, fechas y referencias temporales inmediatas.",agenda; horario; calendario; audio de cita,READ+LISTEN,19,0,6,6,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",31,PASS,NO,16D_LOAD_BALANCING
A1-M03-I01-S2,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I01,9,"Fecha, hora y calendario",2,Cambio de horario,VARIATION_AND_LOCAL_RECYCLING,"Variación de horas, días y referencias temporales.","Comprender y expresar horas, días, meses, fechas y referencias temporales inmediatas.",agenda; horario; calendario; audio de cita,LISTEN+READ,18,7,6,7,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",38,PASS,NO,16D_LOAD_BALANCING
A1-M03-I01-S3,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I01,9,"Fecha, hora y calendario",3,Fecha y hora en otro contexto,EXTENSION_AND_TRANSFER_PREP,Extensión de calendario y referencias temporales antes de organizar una agenda nueva.,"Comprender y expresar horas, días, meses, fechas y referencias temporales inmediatas.",agenda; horario; calendario; audio de cita,READ+LISTEN_OR_INTERACTION,18,15,6,7,0,0,CONTROLLED_FINAL_INTRODUCTION_ALLOWED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,Added in 16D because v1.43 new-target load exceeded the internal planning guardrail. This story may introduce final island targets; it is not the final transfer story.,46,PASS,NO,16D_LOAD_BALANCING
A1-M03-I01-S4,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I01,9,"Fecha, hora y calendario",4,Organizar la semana,TRANSFER_AND_RETRIEVAL,Transferencia sobre una agenda nueva.,"Comprender y expresar horas, días, meses, fechas y referencias temporales inmediatas.",agenda; horario; calendario; audio de cita,TASK_INTERACTION+READ_OR_LISTEN,0,33,6,25,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,v1.43 S3 moved to S4 in 16D so the final story remains transfer-only after load balancing.,64,PASS,YES,16D_LOAD_BALANCING
A1-M03-I02-S1,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I02,10,Mi día,1,Un día normal,CONTEXTUAL_INPUT,Rutina cotidiana y secuencia temporal.,Describir rutinas y acciones cotidianas en presente.,rutina ilustrada; mensaje; audio-diario breve,READ+LISTEN,18,0,18,10,1,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",47,PASS,NO,16D_FINAL_AUDIT
A1-M03-I02-S2,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I02,10,Mi día,2,Hoy es diferente,VARIATION_AND_LOCAL_RECYCLING,Variación de acciones y frecuencia.,Describir rutinas y acciones cotidianas en presente.,rutina ilustrada; mensaje; audio-diario breve,LISTEN+READ,18,9,19,10,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",56,PASS,NO,16D_FINAL_AUDIT
A1-M03-I02-S3,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I02,10,Mi día,3,Ordenar el día,TRANSFER_AND_RETRIEVAL,Reconstrucción de una rutina nueva usando marcadores y acciones.,Describir rutinas y acciones cotidianas en presente.,rutina ilustrada; mensaje; audio-diario breve,TASK_INTERACTION+READ_OR_LISTEN,0,27,18,28,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",73,PASS,YES,16D_FINAL_AUDIT
A1-M03-I03-S1,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I03,11,En clase,1,En clase,CONTEXTUAL_INPUT,"Instrucciones, objetos de aula y petición de ayuda.","Seguir instrucciones, pedir ayuda y gestionar permiso/aceptación/rechazo en aula.",instrucción; diálogo; ejercicio guiado,READ+LISTEN,15,0,9,9,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",33,PASS,NO,16D_LOAD_BALANCING
