domain,item_type,item,source_level,status,action,notes
VIAJES_ALOJAMIENTO,ATOMIC_FORM,aire,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,aparcamiento,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,autobús,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,avión,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,barco,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,baño,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,billete,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,bolso,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,calle,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,campin,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,campo,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,carné,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,carretera,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,coche,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,conductor,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,estación,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,garaje,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,habitación,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,horario,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,hotel,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,ida,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,identidad,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,información,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,maleta,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,mapa,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,metro,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,montaña,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,oficina,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,parada,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,pasaporte,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,plano,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,playa,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,policía,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,publicidad,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,puerto,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,taxi,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,taxista,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,televisión,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,teléfono,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,tren,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,turismo,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,turista,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,vacaciones,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,vuelta,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,andar,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,comprar,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,conducir,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,ir,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,viajar,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,acondicionado,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,doble,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,individual,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,carné de conducir,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,carné de identidad,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,comprar un billete de ida,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,comprar un billete de ida y vuelta,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,estación de autobuses,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,estación de metro,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,estación de tren,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,habitación con aire acondicionado,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,habitación con baño,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,habitación con televisión,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,habitación con teléfono,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,habitación doble,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,habitación individual,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir a la montaña,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir a la playa,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir andando,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en autobús,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en avión,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en barco,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en coche,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en metro,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en taxi,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,ir en tren,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,oficina de información y turismo,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,parada de autobús,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,parada de metro,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,parada de taxi,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,viajar en avión,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,MWU,viajar en barco,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU_COMPONENT,manos,A1,A1_MWU_COMPONENT_ONLY,DO_NOT_ATOMIZE,Appears inside `lavarse las manos`; lemma already represented or morphology can generate form.
SALUD_HIGIENE,MWU_COMPONENT,dientes,A1,A1_MWU_COMPONENT_ONLY,DO_NOT_ATOMIZE,Appears inside `lavarse los dientes`; lemma already represented or morphology can generate form.
VIAJES_ALOJAMIENTO,MWU_COMPONENT,autobuses,A1,A1_MWU_COMPONENT_ONLY,DO_NOT_ATOMIZE,Appears inside `estación de autobuses`; lemma already represented or morphology can generate form.
COMPRAS,BOUNDARY_ASSERTION,centro comercial,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,papelería,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,peluquería,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,quiosco,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,estanco,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,frutería,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,carnicería,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,panadería,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,agencia de viajes,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,frutero,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,carnicero,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,panadero,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,dependiente,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,cliente,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,devolver,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,cambiar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,ir de compras,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,ir de tiendas,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,hacer la compra,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,blusa,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,traje,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,pijama,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,cazadora,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,gorra,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,sombrero,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,pañuelo,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,guantes,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,bufanda,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,bañador,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,biquini,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,botas,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,probador,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,propina,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,IVA,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
COMPRAS,BOUNDARY_ASSERTION,pagar en efectivo,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,sentirse bien,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,sentirse mal,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,gripe,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,alergia,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,fiebre,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,tos,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,dolor de cabeza,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,dolor de espalda,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,dolor de estómago,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,doler,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,estar cansado,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,ambulancia,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,urgencias,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,medicina,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,medicamento,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,ducha,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,bañera,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,toalla,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,champú,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,gel,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,crema,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,colonia,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,desodorante,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,pasta de dientes,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,afeitarse,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,peinarse,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
SALUD_HIGIENE,BOUNDARY_ASSERTION,cepillarse los dientes,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,Domain-scoped A2 boundary; does not imply a global level for the form.
