item,frequency_signal,a1_evidence_source,a1_evidence_value,evidence_gate,a1_core_status,notes
lo,6.041.793,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
papá,243.251,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
necesitar,evidencia mediante `necesito` 237.654,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
razón,198.832,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
idea,193.369,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
problema,189.963,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
amor,182.326,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
persona,136.985,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
camino,140.092,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
ayuda,136.155,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
historia,135.924,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
importante,119.177,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
miedo,118.624,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
encontrar,113.028,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
cuidado,111.524,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
tomar,109.183,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
suficiente,107.106,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
equipo,106.584,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
cuerpo,98.410,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
dar,92.706,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
dormir,73.064,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
seguir,81.723,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
palabra,76.589,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
quedar,76.150,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
sitio,73.036,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
ayudar,72.837,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
plan,71.640,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
llamar,68.861,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
poner,64.740,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
perro,63.070,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
viaje,62.667,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
buscar,62.319,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
llamada,61.791,ELELex / CEFRLex public documentation,A1 normalized frequency 9.6,A1_GRADED_ATTESTATION,A1_REVIEW_PENDING,Explicit A1 attestation; not yet core.
incluir,,ELELex / CEFRLex public documentation,A1 normalized frequency 5.4,A1_GRADED_ATTESTATION,A1_REVIEW_PENDING,Explicit A1 attestation; not yet core.
