record_id,record_type,workstream_id,current_phase_label,original_plan_phase,curriculum_layer,inventory_or_control,primary_sources,grading_model,coverage_status,primary_count,count_unit,secondary_count,secondary_unit,receptive_productive_state,baseline_effect,cross_layer_dependencies,open_issue,severity,recommended_action,evidence_basis,notes,curriculum_version
AUD13-011,INVENTORY_COVERAGE,WS-DISCOURSE,F8B,F8,Discourse,A1 descriptive discourse,PCIC-07,A1 explicit,COMPLETE_A1_WITH_NEGATIVE_BOUNDARY,3,A1 macrofunctions,6,discourse moves,PRODUCTIVE_DESCRIPTION; NARRATIVE_NOT_A1_PCIC07,NO_CHANGE,functions Describe/Narrate,,INFO,,Phase8B CSV v1.22,Narrative macrofunction begins at A2 in PCIC-07; CEFR A1 may allow receptive short illustrated stories.,1.28
AUD13-012,INVENTORY_COVERAGE,WS-PHONOLOGY,F9A,F9,Pronunciation/prosody,PCIC Stage A phonology,PCIC-03 + CEFR A1 + PCIC-06,PCIC stage A = A1–A2 unsplit,COMPLETE_STAGE_A_NOT_A1_SPLIT,95,stage-A items,6,explicit A1 minimum anchors,MIXED; A1 target=intelligibility,NO_CHANGE,orthography; pragmatics; L1 layer,Cannot assign all 95 Stage-A items specifically to A1.,INFO,Keep Stage-A pool plus explicit A1 minimum.,Phase9A CSV v1.23,,1.28
AUD13-013,INVENTORY_COVERAGE,WS-ORTHOGRAPHY,F9B,F9,Orthography,A1 orthographic items,PCIC-04 + CEFR,A1 explicit,COMPLETE_A1,119,A1 items,63,A2 boundaries,MIXED,NO_CHANGE,phonology; written genres,,INFO,,Phase9B CSV v1.24,,1.28
AUD13-014,INVENTORY_COVERAGE,WS-CULTURAL-REFERENTS,F10,F10,Culture,Cultural approximation pool,PCIC-10,"PCIC cultural phases, not CEFR levels",COMPLETE_SOURCE_POOL_NON_GRADED,68,approximation topics,,,NOT_A1_BY_ITSELF,NO_CHANGE,sociocultural; intercultural; regional,No systematic A1 mapping for the entire pool.,INFO,Use only independent A1 anchors for mandatory minimum.,Phase10 CSV v1.25,,1.28
AUD13-015,INVENTORY_COVERAGE,WS-SOCIOCULTURAL,F10,F10,Sociocultural,Sociocultural approximation pool,PCIC-11 + CEFR A1 crosswalk,"PCIC cultural phases, not CEFR levels",COMPLETE_SOURCE_POOL_PLUS_A1_MINIMUM,129,approximation topics,8,A1 operational anchors,MINIMUM_A1_ONLY,NO_CHANGE,pragmatics; culture; variation,,INFO,,Phase10 CSV v1.25,PCIC-11 geographical description is Spain-focused; do not generalize panhispanically.,1.28
AUD13-016,INVENTORY_COVERAGE,WS-INTERCULTURAL,F11-current,F10 original cultural block,Interculturality,PCIC-12 skills/attitudes,PCIC-12 + CEFR A1,single ungraded list,COMPLETE_SOURCE_POOL_PLUS_A1_CROSSWALK,188,ungraded specifications,4,A1 operational crosswalk items,A1_MINIMUM_ONLY,NO_CHANGE,culture; mediation; CEFR pluricultural competence,,INFO,,Phase11 CSV v1.26,,1.28
AUD13-017,INVENTORY_COVERAGE,WS-LEARNING-AUTONOMY,F12-current,PCIC-13 reserve/selective in original plan,Learning/autonomy,PCIC-13 procedures,PCIC-13,single ungraded list,COMPLETE_SOURCE_POOL_NON_GRADED,106,procedure families,12,early toolkit candidates,NON_NORMATIVE_TOOLKIT,NO_CHANGE,learner state/history; sequencing UX,,INFO,,Phase12 CSV v1.27,,1.28
AUD13-018,INVENTORY_COVERAGE,WS-REGIONAL,F7C,F7C,Variation,Regional lexical/grammar layer,PCIC + linguistic/corpus support,source assertion + regional evidence gate,COMPLETE_FIRST_PASS,17,new regional surface forms,27,A1 regional receptive assertions,MOSTLY_RECEPTIVE,NO_CHANGE,lexicon; pragmatics; phonology; orthography; culture,,INFO,,Inherited F7C result from project history,,1.28
AUD13-019,INVENTORY_COVERAGE,WS-L1-EN-COGNATES,F7D,F7D,L1 English,Cognate/false-friend layer,scientific support + full 602-screen,metadata only,COMPLETE_FIRST_PASS,602,surface forms screened,41,false-friend/deceptive-overlap flags,NOT_LEVEL_DEFINING,NO_CHANGE,lexicon; difficulty; sequencing,,INFO,,Inherited F7D result from project history,,1.28
AUD13-020,OPEN_GAP,WS-DELE-TASKS,NOT_YET_EXECUTED_IN_CURRENT_ADDENDUM_CHAIN,F11,Tasks,DELE A1 task taxonomy,DELE-01–04,A1 exam operationalization,PENDING,0,completed extraction records,,,TASK_LEVEL,NO_CHANGE,CEFR; genres; functions,Original Plan Phase 11 has not been executed in current addendum sequence.,HIGH,Run DELE task-taxonomy workstream before final coverage audit.,Master v1.12 §20 plan + source registry,,1.28
AUD13-021,OPEN_GAP,WS-FREQUENCY-UTILITY,PARTIAL_ENRICHMENT_ONLY,F12,Frequency/utility,Systematic corpus enrichment,CORP registered sources,quantitative enrichment,PARTIAL_PENDING_SYSTEMATIC,0,final normalized per-item metrics,,,NOT_LEVEL_DEFINING,NO_CHANGE,normalized lexemes/senses; legal provenance,"F7 performed gap/frequency audits, but original Plan F12 systematic per-item enrichment remains unfinished.",HIGH,Execute after/with normalization using legally compatible datasets.,Master v1.12 §20 plan + F7 history,,1.28
AUD13-022,OPEN_GAP,WS-SCIENCE-CURRICULAR,NOT_YET_EXECUTED_AS_SYSTEMATIC_PHASE,F13,Scientific evidence,Decision-by-decision scientific audit,SCI registry,evidence hierarchy,PENDING,0,systematic decision rules,,,NOT_APPLICABLE,NO_CHANGE,sequencing; recycling; receptive/productive policy,Original Plan Phase 13 science workstream has not been executed despite current phase number collision.,HIGH,Retain as separate stable workstream; do not consider science phase complete.,"Master v1.12 §§17,20,24.9",,1.28
AUD13-023,OPEN_GAP,WS-NORMALIZATION-MASTER,FUTURE,F14,Normalization,LEXEME/SENSE/FORM/MWU master identities,all layers + LING,canonical identity,PENDING,0,final lexemes,0,final senses,NOT_APPLICABLE,NO_CHANGE,lexicon; regional; cognates; frequency,578 provisional anchors are not a final lexeme count; sense count unresolved.,BLOCKER,Complete before declaring final totals or coverage percentages.,"F7G inherited + master rules §§10,13.6",,1.28
AUD13-024,OPEN_GAP,WS-COVERAGE-FINAL,CURRENT_F13_IS_PRE-NORMALIZATION_AUDIT,F15,Quantification,Final exhaustive coverage audit,all CORE/SUPPORT,post-normalization,PENDING_FINAL,0,final coverage percentage,,,NOT_APPLICABLE,NO_CHANGE,normalization; DELE; frequency; science,"This F13 matrix is transversal pre-normalization, not the final F15 coverage audit.",MEDIUM,Repeat audit after workstreams 11–14 original plan are completed.,Master v1.12 §20,,1.28
AUD13-025,OPEN_GAP,WS-SEQUENCING,FUTURE,F16,Sequencing,Modules/islands/dependencies,final inventories,derived sequence,PENDING,0,sequenced curricular objects,,,NOT_APPLICABLE,NO_CHANGE,all finalized inventories,No module/island assignment should be treated as final yet.,MEDIUM,Sequence only after normalization and final coverage.,Master v1.12 §20 + platform architecture,,1.28
AUD13-026,CROSS_LAYER_INVARIANT,CTRL-LEVEL_ON_SOURCE_ASSERTION,F13,N/A,Cross-layer governance,LEVEL_ON_SOURCE_ASSERTION,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,BLOCKER,Enforce in future schemas and audits.,Cross-phase audit,"Level belongs to source assertion, not an unqualified surface string.",1.28
AUD13-027,CROSS_LAYER_INVARIANT,CTRL-NO_CROSS_INVENTORY_COUNT_INFLATION,F13,N/A,Cross-layer governance,NO_CROSS_INVENTORY_COUNT_INFLATION,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,Crossrefs among function/pragmatics/genres/phonology/orthography do not create duplicate curricular objects.,1.28
AUD13-028,CROSS_LAYER_INVARIANT,CTRL-MWU_COMPONENT_NOT_ATOMIZED,F13,N/A,Cross-layer governance,MWU_COMPONENT_NOT_ATOMIZED,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,A component occurring only inside an MWU is not automatically an atomic lexeme.,1.28
AUD13-029,CROSS_LAYER_INVARIANT,CTRL-CEFR_EXAMPLE_NOT_LEXICAL_ASSERTION,F13,N/A,Cross-layer governance,CEFR_EXAMPLE_NOT_LEXICAL_ASSERTION,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,Examples/domains in CEFR descriptors do not create Spanish A1 lexical entries.,1.28
AUD13-030,CROSS_LAYER_INVARIANT,CTRL-ORTHOGRAPHY_EXAMPLE_NOT_LEXICAL_ASSERTION,F13,N/A,Cross-layer governance,ORTHOGRAPHY_EXAMPLE_NOT_LEXICAL_ASSERTION,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,Words used only as orthographic examples do not enter A1 lexicon.,1.28
AUD13-031,CROSS_LAYER_INVARIANT,CTRL-CULTURAL_REFERENT_NOT_LEXICAL_ASSERTION,F13,N/A,Cross-layer governance,CULTURAL_REFERENT_NOT_LEXICAL_ASSERTION,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,Cultural examples/referents do not automatically enter A1 lexicon.,1.28
AUD13-032,CROSS_LAYER_INVARIANT,CTRL-PCIC_NON_GRADED_NOT_A1,F13,N/A,Cross-layer governance,PCIC_NON_GRADED_NOT_A1,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,BLOCKER,Enforce in future schemas and audits.,Cross-phase audit,PCIC Stage A / cultural phases / PCIC-12 / PCIC-13 are not mechanically relabeled A1.,1.28
AUD13-033,CROSS_LAYER_INVARIANT,CTRL-RECEPTIVE_NOT_PRODUCTIVE,F13,N/A,Cross-layer governance,RECEPTIVE_NOT_PRODUCTIVE,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,Receptive recognition and productive obligation remain separate.,1.28
AUD13-034,CROSS_LAYER_INVARIANT,CTRL-REGIONAL_VARIANT_SENSE_LEVEL,F13,N/A,Cross-layer governance,REGIONAL_VARIANT_SENSE_LEVEL,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,"Regional equivalence is sense/distribution-specific, not a global string synonymy.",1.28
AUD13-035,CROSS_LAYER_INVARIANT,CTRL-COGNATE_NOT_LEVEL,F13,N/A,Cross-layer governance,COGNATE_NOT_LEVEL,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,"English cognation changes scaffolding/inferibility, not A1 membership.",1.28
AUD13-036,CROSS_LAYER_INVARIANT,CTRL-RESEARCH_VIEW_NOT_PRODUCT_VIEW,F13,N/A,Cross-layer governance,RESEARCH_VIEW_NOT_PRODUCT_VIEW,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,BLOCKER,Enforce in future schemas and audits.,Cross-phase audit,Curricular justification and commercial redistribution clearance remain separate.,1.28
AUD13-037,CROSS_LAYER_INVARIANT,CTRL-FUNCTION_PENDING_ZERO,F13,N/A,Cross-layer governance,FUNCTION_PENDING_ZERO,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,INFO,Enforce in future schemas and audits.,Cross-phase audit,"All three original Phase-3 function crossrefs are resolved after F8: Connect=A1, Describe=A1, Narrate=A2-only in PCIC-07.",1.28
AUD13-038,CROSS_LAYER_INVARIANT,CTRL-PHONOLOGY_STAGE_A_UNSPLIT,F13,N/A,Cross-layer governance,PHONOLOGY_STAGE_A_UNSPLIT,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,95 PCIC phonology Stage-A items remain A1–A2 unsplit; only explicit CEFR/pragmatic anchors are A1-specific.,1.28
AUD13-039,CROSS_LAYER_INVARIANT,CTRL-CULTURE_GEOGRAPHIC_SCOPE,F13,N/A,Cross-layer governance,CULTURE_GEOGRAPHIC_SCOPE,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,HIGH,Enforce in future schemas and audits.,Cross-phase audit,PCIC-11 Spain-focused sociocultural claims are not generalized to Hispano-America.,1.28
AUD13-040,CROSS_LAYER_INVARIANT,CTRL-PHASE_NUMBER_NOT_IDENTITY,F13,N/A,Cross-layer governance,PHASE_NUMBER_NOT_IDENTITY,all applicable,invariant,PASS,1,control,,,NOT_APPLICABLE,NO_CHANGE,multiple layers,,BLOCKER,Enforce in future schemas and audits.,Cross-phase audit,Historical phase number is not a stable workstream identifier.,1.28
AUD13-041,NUMBERING_AUDIT,WS-NUMBERING,F13-current,F13 originally science,Governance,Phase numbering collision,Master plan §20 + addendum sequence,ordinal history,CONFLICT_DETECTED,3,displaced original workstreams,2,current addenda using F11/F12 for other domains,NOT_APPLICABLE,NO_CHANGE,all project files,Current addendum chain repurposed F11 and F12; F13 current audit collides with original F13 science.,BLOCKER,Adopt stable workstream_id; preserve historical phase labels; do not retroactively rename files.,Master v1.12 §20 vs Phase11/12 addenda,"Original F11=DELE, F12=corpus/frequency, F13=science. Current addenda F11=intercultural, F12=autonomy, F13=transversal audit.",1.28
AUD13-042,READINESS_GATE,GATE-CONTENT-INVENTORIES,F13,N/A,Readiness,Core linguistic/cultural extraction gate,all extracted sources,mixed,PASS_WITH_NON_GRADED_QUALIFIERS,1,gate,,,NOT_APPLICABLE,NO_CHANGE,CEFR; PCIC inventories,,INFO,Proceed to missing original-plan workstreams and normalization.,This audit,,1.28
AUD13-043,READINESS_GATE,GATE-FINAL-NORMALIZATION,F13,F14,Readiness,Canonical identity gate,all layers,canonical identity,FAIL_NOT_READY,0,gate pass,,,NOT_APPLICABLE,NO_CHANGE,LEXEME/SENSE/FORM/MWU,Canonical IDs/senses not finalized.,BLOCKER,Do not publish final counts/coverage percentages.,This audit,,1.28
AUD13-044,READINESS_GATE,GATE-SEQUENCING,F13,F16,Readiness,Module/island sequencing gate,all layers,dependency graph,CONDITIONAL_NOT_READY,0,gate pass,,,NOT_APPLICABLE,NO_CHANGE,DELE; science; normalization; final coverage,"Can prototype sequencing, but not declare final A1 architecture.",HIGH,Wait for missing workstreams or mark prototype-only.,This audit,,1.28
