record_id,concept_anchor,variant_item,item_type,pos,region_scope,country_distribution,source_id_primary,source_id_secondary,source_level_anchor,regional_status,receptive_default,productive_default,baseline_action,evidence_gate,semantic_equivalence_confidence,variant_group_id,notes,source_url_1,source_url_2,curriculum_version
REG-A1-020,ordenador,computadora,ATOMIC_FORM,NOUN,Hispanoamérica,"EU, Mx, Gu, Ho, ES, Ni, Cu, RD, PR, Ve, Pe, Bo, Py, Ar, Ur",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-COMPUTER,Personal computer/computer.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/computadora,1.16
REG-A1-021,gafas,anteojos,ATOMIC_FORM,NOUN_PL,Hispanoamérica,"EU, Mx, Ho, Ni, CR, Cu, PR, Co, Ve, Ec:O, Pe, Bo, Ch, Py, Ar, Ur",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-GLASSES,Corrective/protective glasses.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/anteojos,1.16
REG-A1-022,camarero,mesero,ATOMIC_FORM,NOUN,Hispanoamérica,"Mx, Gu, Ho, ES, Ni, CR, Pa, Cu, RD, PR, Co, Ec, Pe, Bo, Ch; Ur p.u.",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-WAITER,Restaurant/café server. Feminine mesera generated morphologically; not separately counted here.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/mesero,1.16
REG-A1-023,sello (postal),estampilla,ATOMIC_FORM,NOUN,Hispanoamérica,"Mx, Gu, Ho, ES, Ni, CR, Pa, Cu, Co, Ve, Ec, Pe, Ch, Py, Ar, Ur; Bo colloquial",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-POSTAGE-STAMP,Postage/fiscal stamp; curriculum anchor restricted to postal sense.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/estampilla,1.16
REG-A1-024,céntimo / centésima monetaria,centavo,ATOMIC_FORM,NOUN,Hispanoamérica,"Mx, Gu, Ho, ES, Ni, Pa, Cu, RD, Co, Bo",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-CURRENCY-CENT,One hundredth of the official currency; not a universal replacement for euro-specific cultural content.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/centavo,1.16
REG-A1-025,billete (transporte),boleto,ATOMIC_FORM,NOUN,Hispanoamérica,"Ho, ES, Ve, Ec, Pe, Bo, Ch, Ar, Ur",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-TRANSPORT-TICKET,Promotion restricted to transport-ticket sense.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/boleto,1.16
REG-A1-026,coche / automóvil,carro,ATOMIC_FORM,NOUN,Hispanoamérica,"EU, Mx, Gu, Ho, ES, Ni, Pa, Cu, RD, PR, Co, Ve, Pe; broader motor-vehicle senses elsewhere",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-CAR,Promotion restricted to automobile sense.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/carro,1.16
REG-A1-027,aparcamiento,parqueadero,ATOMIC_FORM,NOUN,Northern/South American regional subset,"Gu, Co, Ec, Bo; Pa p.u.",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-PARKING,"Narrower geography; receptive A1 only, not international core.",https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/parqueadero,1.16
REG-A1-028,conductor,chofer,ATOMIC_FORM,NOUN_COMMON_GENDER,Hispanoamérica,"EU, Mx, Gu, Ho, ES, Ni, CR, Pa, Cu, RD, PR, Co, Ve, Ec, Pe, Bo, Ch, Py, Ar, Ur",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-DRIVER,Driver of a vehicle; broad American distribution.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/chofer,1.16
REG-A1-029,autobús,colectivo,ATOMIC_FORM,NOUN,Southern South America / selected areas,"Ve, Py, Ar = bus; Pe = small bus; other countries may use it for shared-route taxi",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-BUS,Sense-restricted; regional meaning varies significantly.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/colectivo,1.16
REG-A1-030,autobús,guagua,ATOMIC_FORM,NOUN,Caribbean + selected areas,"Mx:NO, Gu:O, Cu, RD, PR = bus",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-BUS,Strong homonymy: in Andean/Southern zones guagua can mean baby/young child. Only bus sense is A1-regional here.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/guagua,1.16
REG-A1-031,pizarra (aula),pizarrón,ATOMIC_FORM,NOUN,Hispanoamérica,"Mx, Gu, Ho, Ni, Cu, RD, PR, Ve, Ec, Pe, Bo, Ch, Py, Ar, Ur; CR p.u.; Pa cult.",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-CLASSROOM-BOARD,Classroom board.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/pizarrón,1.16
REG-A1-032,vídeo,video,ORTHOGRAPHIC_PROSODIC_VARIANT,NOUN,Americas,majority American pronunciation/spelling according to DPD,SCI-22,LING-04,A1 anchor = vídeo,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM_SAME_LEXEME,R2_RESEARCH_PLUS_PANHISPANIC_NORMATIVE_CORROBORATION,HIGH,VG-VIDEO,"Same lexical item; American majority stress/spelling without accent. Counts as a new surface form, not a new lexeme.",https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.rae.es/dpd/,1.16
REG-A1-033,pelo,cabello,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,POTVIN_ONLY_OR_NOT_REGION_SPECIFIC,MEDIUM_OR_LOW,VG-CANDIDATE,"The source proposes it as an American equivalent, but it is also broadly general Spanish; distribution class not resolved.",https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-034,gafas,lentes,CANDIDATE,NOUN_PL,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,POTVIN_ONLY,MEDIUM_OR_LOW,VG-CANDIDATE,Independent geographic verification not completed in this pass.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-035,guapo/bonito (?),mono,CANDIDATE,ADJ,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,MAPPING_AMBIGUOUS,MEDIUM_OR_LOW,VG-CANDIDATE,Table alignment does not safely identify the exact A1 source anchor; do not infer one-to-one mapping.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-036,joven,muchacho,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,NOT_CLEarly_REGIONAL,MEDIUM_OR_LOW,VG-CANDIDATE,Semantic/register relation requires separate verification.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-037,marido,esposo,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,NOT_CLEarly_REGIONAL,MEDIUM_OR_LOW,VG-CANDIDATE,Common standard synonym; regionality/priority not established here.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-038,mujer (spouse sense),esposa,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,SENSE_MAPPING_REQUIRED,MEDIUM_OR_LOW,VG-CANDIDATE,Requires spouse-sense anchoring and distribution audit.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-039,carné de conducir,licencia,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,ADMINISTRATIVE_VARIATION,MEDIUM_OR_LOW,VG-CANDIDATE,Legal/document terminology varies by country; do not globalize.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-040,comida/merienda,almuerzo,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,MEAL_SYSTEM_VARIATION,MEDIUM_OR_LOW,VG-CANDIDATE,Meal labels vary semantically and culturally; direct equivalence is unsafe.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-041,merienda,onces,CANDIDATE,NOUN_PL,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,NARROW_REGIONAL,MEDIUM_OR_LOW,VG-CANDIDATE,Country/region-specific meal term; needs distribution and usage audit.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-042,comer/merendar,almorzar,CANDIDATE,VERB,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,MEAL_SYSTEM_VARIATION,MEDIUM_OR_LOW,VG-CANDIDATE,Semantic timetable differs across regions.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-043,merendar,tomar onces,CANDIDATE,MWU,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,NARROW_REGIONAL,MEDIUM_OR_LOW,VG-CANDIDATE,Requires country-specific profile.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-044,plato,platillo,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,MEXICO_MARKED,MEDIUM_OR_LOW,VG-CANDIDATE,"Could be useful, but corpus/distribution validation pending.",https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-045,zumo,jugo,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,SOURCE_ROW_A2_CONFLICT,MEDIUM_OR_LOW,VG-CANDIDATE,In Potvin table the peninsular anchor zumo is A2; cannot use the table to promote jugo to A1.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-046,plátano,banana/banano,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,SOURCE_ROW_A2_CONFLICT,MEDIUM_OR_LOW,VG-CANDIDATE,Peninsular anchor plátano is A2 in the table; no A1 promotion from 7C.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-047,patata,papa,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,SOURCE_ROW_A2_CONFLICT,MEDIUM_OR_LOW,VG-CANDIDATE,Peninsular anchor patata is A2 in the table.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-048,gambas,camarones,CANDIDATE,NOUN_PL,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,SOURCE_ROW_A2_CONFLICT,MEDIUM_OR_LOW,VG-CANDIDATE,Peninsular anchor is A2 in the table.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-049,bolígrafo,lapicero / esfero,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,POTVIN_ONLY,MEDIUM_OR_LOW,VG-CANDIDATE,Useful A1 candidate; independent geographic verification still pending.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-050,pizarra,tablero,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,POLYSEMY_AND_DISTRIBUTION,MEDIUM_OR_LOW,VG-CANDIDATE,Pizarrón passes the gate; tablero remains pending.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
REG-A1-051,apartamento/piso,departamento,CANDIDATE,NOUN,Hispanoamérica / variable,not closed,SCI-22,,A1/A2 depends on anchor,REGIONAL_CANDIDATE_NOT_PROMOTED,PENDING,NO,NO_CHANGE,DISTRIBUTION_PENDING,MEDIUM_OR_LOW,VG-CANDIDATE,"Strong candidate, but exact housing-sense geographic verification not completed.",https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,,1.16
