record_id,record_type,source_id,source_name,source_type,declared_level_scope,domain,item,item_type,attestation_granularity,baseline_presence,baseline_status,baseline_pos,pcic_conflict_status,pedagogical_signal,evidence_gate_before,evidence_gate_after,independent_source_count,baseline_action,promotion_allowed,review_status,notes,source_url,curriculum_version
TRI-A1-011,SOURCE_AUDIT,PED-11,AIL Español — City vocabulary A1,PEDAGOGICAL_A1_STRESS_TEST,A1_LABEL,,,,ITEM_LEVEL,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,STRESS_TEST_ONLY,Source classified by what its public materials can legitimately support in Phase 7E.,https://ailespanol.com/learning-resources/spanish-city-vocabulary-a1-exercise/,1.18
TRI-A1-012,SOURCE_AUDIT,PED-12,Instituto Cervantes Manchester — Inicial 1/2 (A1.1/A1.2),INSTITUTIONAL_A1_IMPLEMENTATION,A1.1+A1.2,,,,DOMAINS_PLUS_EXACT_GRAMMATICAL_LEXEMES,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,ITEM_AND_DOMAIN,Source classified by what its public materials can legitimately support in Phase 7E.,https://manchester.cervantes.es/es/cursos_espanol/cursos_generales/inicial/cursos_inicial_1.htm | https://manchester.cervantes.es/es/cursos_espanol/cursos_generales/inicial/cursos_inicial_2.htm,1.18
TRI-A1-013,SOURCE_AUDIT,PED-13,Universidad San Jorge — Curso de español A1 2025-2026,UNIVERSITY_A1,A1,,,,DETAILED_SYLLABUS,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,ITEM_AND_DOMAIN,Source classified by what its public materials can legitimately support in Phase 7E.,https://www.usj.es/sites/default/files/content/Guida%20docente_Course%20guide%20Spanish%20A1_VR-C2.pdf,1.18
TRI-A1-014,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,ser,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-015,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,estar,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-016,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,llamarse,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-017,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,tener,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-018,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,querer,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-019,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,hablar,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-020,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,comprender,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-021,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Identidad personal,vivir,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,"Beginner module; resource scope is A1-A2, so item level is unresolved.",https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-022,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Discurso/Conexión,y,FUNCTION_WORD,EXACT_FORM,YES,A1_CORE_NORMATIVE,CONJ_CONNECTOR,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,Listed as connecting words in the first module; resource scope is A1-A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-023,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Discurso/Conexión,o,FUNCTION_WORD,EXACT_FORM,YES,A1_CORE_NORMATIVE,CONJ_CONNECTOR,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,Listed as connecting words in the first module; resource scope is A1-A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-024,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Discurso/Conexión,también,FUNCTION_WORD,EXACT_FORM,YES,A1_CORE_NORMATIVE,ADV_QUANT,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,Listed as connecting words in the first module; resource scope is A1-A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-025,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Discurso/Conexión,pero,FUNCTION_WORD,EXACT_FORM,YES,A1_CORE_NORMATIVE,CONJ_CONNECTOR,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,Listed as connecting words in the first module; resource scope is A1-A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-026,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Discurso/Conexión,ni,FUNCTION_WORD,EXACT_FORM,YES,A1_CORE_NORMATIVE,CONJ_CONNECTOR,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,Listed as connecting words in the first module; resource scope is A1-A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-027,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Ocio,tiempo libre,MWU_OR_LABEL,EXACT_PHRASE,NO,,,EXPLICIT_A2_IN_PCIC_OCIO,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Chapter title/use in beginner resource; not an A1-only assertion.; PCIC Ocio places tiempo libre in A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-028,SOURCE_ASSERTION,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,Ocio,afición,LEXEME,EXACT_FORM,NO,,,EXPLICIT_A2_IN_PCIC_OCIO,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Appears in the beginner resource as aficiones; not an A1-only assertion.; PCIC Ocio places afición/hobby in A2.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-029,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Identidad personal,llamarse,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-030,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Identidad personal,ser,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-031,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Identidad personal,tener,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-032,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Identidad personal,vivir,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-033,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Identidad personal,hablar,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-034,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Descripción física,llevar,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-035,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Estados/localización,estar,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-036,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Gustos,gustar,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-037,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Gustos,encantar,LEXEME,EXACT_FORM,NO,,,EXPLICIT_A2_IN_PCIC_PERCEPTIVE_DOMAIN,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,PCIC 2.2 places encantar in A2 in feelings/states; external A1 materials do not override that assertion.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-038,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Movilidad,ir,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-039,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Gustos,preferir,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,VERB,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-040,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Ocio/recomendación,tener que + infinitivo,PATTERN,EXACT_PATTERN,NO,,,EXPLICIT_A2_IN_PCIC_FUNCTIONS,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Existing Phase 6C audit records tener que + infinitivo in A2 in the relevant function page.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-041,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Ocio/recomendación,hay que + infinitivo,PATTERN,EXACT_PATTERN,NO,,,EXPLICIT_A2_IN_PCIC_FUNCTIONS,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Existing Phase 6C audit records hay que + infinitivo in A2 in the relevant function page.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-042,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Ocio/recomendación,necesitar + infinitivo,PATTERN,EXACT_PATTERN,NO,,,NO_EXPLICIT_A1_EVIDENCE_IN_CURRENT_NORMATIVE_LEDGER,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Editorial A1 signal only; normative A1 evidence not established.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-043,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Acciones en curso,estar + gerundio,PATTERN,EXACT_PATTERN,NO,,,EXPLICIT_A2_IN_PCIC_GENERAL_NOTIONS,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Existing Phase 6B audit records estar + gerundio only in A2 on the audited page.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-044,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Planes/vacaciones,soler + infinitivo,PATTERN,EXACT_PATTERN,NO,,,NO_EXPLICIT_A1_EVIDENCE_IN_CURRENT_NORMATIVE_LEDGER,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,Editorial A1 signal only; normative A1 evidence not established.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-045,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Planes/vacaciones,volver a + infinitivo,PATTERN,EXACT_PATTERN,NO,,,NONE_IDENTIFIED,PEDAGOGICAL_SIGNAL_PENDING,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-046,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Relaciones personales,familia,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,NOUN,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-047,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Ciudad,barrio,LEXEME,EXACT_FORM,NO,,,EXPLICIT_A2_IN_PCIC_CITY,PEDAGOGICAL_EXTENSION_SIGNAL,E0_OR_UNRESOLVED,E1_PEDAGOGICAL_ATTESTATION_ONLY,,REVIEW_ONLY_NO_PROMOTION,NO,AUDITED,PCIC city audit places barrio in A2.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-048,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Compras,supermercado,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,NOUN,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-049,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Viajes,vacaciones,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,NOUN,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-050,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Alimentación,comida,LEXEME,EXACT_FORM,YES,A1_CORE_NORMATIVE,NOUN,NONE_IDENTIFIED,BASELINE_CORROBORATION,E3_A1_NORMATIVE_OR_EXISTING,E3_A1_NORMATIVE_OR_EXISTING,,KEEP_BASELINE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-051,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Ocio,ocio,DOMAIN_LABEL,DOMAIN_OR_TOPIC_LABEL,NO,,,NONE_IDENTIFIED,DOMAIN_CORROBORATION,NOT_A_LEXEME_GATE,NOT_A_LEXEME_GATE,,NO_CHANGE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-052,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Ocio,espectáculos,DOMAIN_LABEL,DOMAIN_OR_TOPIC_LABEL,NO,,,NONE_IDENTIFIED,DOMAIN_CORROBORATION,NOT_A_LEXEME_GATE,NOT_A_LEXEME_GATE,,NO_CHANGE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-053,SOURCE_ASSERTION,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,Vida cotidiana,acciones cotidianas,DOMAIN_LABEL,DOMAIN_OR_TOPIC_LABEL,NO,,,NONE_IDENTIFIED,DOMAIN_CORROBORATION,NOT_A_LEXEME_GATE,NOT_A_LEXEME_GATE,,NO_CHANGE,NO,AUDITED,,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
