record_id,record_type,pcic_section,source_short_label,normalized_family,domain,source_grading,a1_status,a1_evidence_gate,pedagogical_action,language_requirement,assessment_status,platform_hook,cross_phase_link,notes,source_url,curriculum_version
LP-A1-011,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.3,Fuentes de información y consulta,REFERENCE_RESOURCE_SELECTION,RESOURCE_MANAGEMENT,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-012,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.3,Oportunidades de aprendizaje y uso,PRACTICE_OPPORTUNITY_CREATION,RESOURCE_MANAGEMENT,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-013,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.1,Atención global,GLOBAL_ATTENTION,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-014,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.1,Atención selectiva,SELECTIVE_ATTENTION,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-015,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Análisis de formas,FORM_ANALYSIS,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-016,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Razonamiento deductivo,DEDUCTIVE_REASONING,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-017,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Análisis contrastivo,CROSSLINGUISTIC_COMPARISON,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-018,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Organización,LINGUISTIC_MATERIAL_ORGANIZATION,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-019,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Razonamiento inductivo,INDUCTIVE_REASONING,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-020,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Traducción,TRANSLATION_AS_LEARNING_PROCEDURE,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-021,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Transferencia,CROSSLINGUISTIC_TRANSFER,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-022,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Inferencia,CONTEXTUAL_INFERENCE,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-023,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Resumen,SUMMARIZATION,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-024,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.2,Toma de notas,NOTE_TAKING,COGNITIVE_PROCESSING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-025,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.3,Agrupamiento y asociación,MEMORY_GROUPING_ASSOCIATION,MEMORY_STORAGE,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-026,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.3,Contextualización,MEMORY_CONTEXTUALIZATION,MEMORY_STORAGE,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-027,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.3,Imágenes,MULTIMODAL_IMAGERY,MEMORY_STORAGE,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-028,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.3,Espacialización,LOCI_SPATIAL_MEMORY,MEMORY_STORAGE,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-029,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.4,Repetición mecánica,MECHANICAL_REHEARSAL,MEMORY_RETRIEVAL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-030,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.4,Revisión periódica,PERIODIC_REVIEW,MEMORY_RETRIEVAL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-031,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.4,Evocación,CUE_BASED_RECALL,MEMORY_RETRIEVAL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-032,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.2.5,Repetición,PRACTICE_REPETITION,PRACTICE,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
